Hierarchy Name: Region
Europe,World
Americas,World
Scandinavia,Europe
Benelux,Europe
Islands,Europe
Central Europe,Europe
Iberia,Europe
Southern Europe,Europe
Denmark,Scandinavia
Norway,Scandinavia
Sweden,Scandinavia
Luxemburg,Benelux
Netherlands,Benelux
Belgium,Benelux
Great Britain,Islands
Ireland,Islands
France,Central Europe
Germany,Central Europe
Portugal,Iberia
Spain,Iberia
Greece,Southern Europe
Italy,Southern Europe
North America,Americas
South America,Americas
Canada,North America
Mexico,North America
United States,North America
Argentina,South America
Brazil,South America
Chile,South America
Uruguay,South America
"('Europe', 'World')","('Americas', 'World')","('Scandinavia', 'Europe')","('Benelux', 'Europe')","('Islands', 'Europe')","('Central Europe', 'Europe')","('Iberia', 'Europe')","('Southern Europe', 'Europe')","('Denmark', 'Scandinavia')","('Norway', 'Scandinavia')","('Sweden', 'Scandinavia')","('Luxemburg', 'Benelux')","('Netherlands', 'Benelux')","('Belgium', 'Benelux')","('Great Britain', 'Islands')","('Ireland', 'Islands')","('France', 'Central Europe')","('Germany', 'Central Europe')","('Portugal', 'Iberia')","('Spain', 'Iberia')","('Greece', 'Southern Europe')","('Italy', 'Southern Europe')","('North America', 'Americas')","('South America', 'Americas')","('Canada', 'North America')","('Mexico', 'North America')","('United States', 'North America')","('Argentina', 'South America')","('Brazil', 'South America')","('Chile', 'South America')","('Uruguay', 'South America')"
